Market,Year,Dome,NumTeams,Attendance,Valuation,Households,Households Margin of Error,"Households Less Than $10,000","Households Less Than $10,000 Margin of Error","Households $10,000 to $14,999","Households $10,000 to $14,999 Margin of Error","Households $15,000 to $24,999","Households $15,000 to $24,999 Margin of Error","Households $25,000 to $34,999","Households $25,000 to $34,999 Margin of Error","Households $35,000 to $49,999","Households $35,000 to $49,999 Margin of Error","Households $50,000 to $74,999","Households $50,000 to $74,999 Margin of Error","Households $75,000 to $99,999","Households $75,000 to $99,999 Margin of Error","Households $100,000 to $149,999","Households $100,000 to $149,999 Margin of Error","Households $150,000 to $199,999","Households $150,000 to $199,999 Margin of Error","Households $200,000 or More","Households $200,000 or More Margin of Error",Households Median Income (Dollars),Households Median Income (Dollars) Margin of Error,Households Mean Income (Dollars),Households Mean Income (Dollars) Margin of Error,Households Household Income in the Past 12 Months,Families,Families Margin of Error,"Families Less Than $10,000","Families Less Than $10,000 Margin of Error","Families $10,000 to $14,999","Families $10,000 to $14,999 Margin of Error","Families $15,000 to $24,999","Families $15,000 to $24,999 Margin of Error","Families $25,000 to $34,999","Families $25,000 to $34,999 Margin of Error","Families $35,000 to $49,999","Families $35,000 to $49,999 Margin of Error","Families $50,000 to $74,999","Families $50,000 to $74,999 Margin of Error","Families $75,000 to $99,999","Families $75,000 to $99,999 Margin of Error","Families $100,000 to $149,999","Families $100,000 to $149,999 Margin of Error","Families $150,000 to $199,999","Families $150,000 to $199,999 Margin of Error","Families $200,000 or More","Families $200,000 or More Margin of Error",Families Median Income (Dollars),Families Median Income (Dollars) Margin of Error,Families Mean Income (Dollars),Families Mean Income (Dollars) Margin of Error,Families Family Income in the Past 12 Months,Married-Couple Families,Married-Couple Families Margin of Error,"Married-Couple Families Less Than $10,000","Married-Couple Families Less Than $10,000 Margin of Error","Married-Couple Families $10,000 to $14,999","Married-Couple Families $10,000 to $14,999 Margin of Error","Married-Couple Families $15,000 to $24,999","Married-Couple Families $15,000 to $24,999 Margin of Error","Married-Couple Families $25,000 to $34,999","Married-Couple Families $25,000 to $34,999 Margin of Error","Married-Couple Families $35,000 to $49,999","Married-Couple Families $35,000 to $49,999 Margin of Error","Married-Couple Families $50,000 to $74,999","Married-Couple Families $50,000 to $74,999 Margin of Error","Married-Couple Families $75,000 to $99,999","Married-Couple Families $75,000 to $99,999 Margin of Error","Married-Couple Families $100,000 to $149,999","Married-Couple Families $100,000 to $149,999 Margin of Error","Married-Couple Families $150,000 to $199,999","Married-Couple Families $150,000 to $199,999 Margin of Error","Married-Couple Families $200,000 or More","Married-Couple Families $200,000 or More Margin of Error",Married-Couple Families Median Income (Dollars),Married-Couple Families Median Income (Dollars) Margin of Error,Married-Couple Families Mean Income (Dollars),Married-Couple Families Mean Income (Dollars) Margin of Error,Nonfamily Households,Nonfamily Households Margin of Error,"Nonfamily Households Less Than $10,000","Nonfamily Households Less Than $10,000 Margin of Error","Nonfamily Households $10,000 to $14,999","Nonfamily Households $10,000 to $14,999 Margin of Error","Nonfamily Households $15,000 to $24,999","Nonfamily Households $15,000 to $24,999 Margin of Error","Nonfamily Households $25,000 to $34,999","Nonfamily Households $25,000 to $34,999 Margin of Error","Nonfamily Households $35,000 to $49,999","Nonfamily Households $35,000 to $49,999 Margin of Error","Nonfamily Households $50,000 to $74,999","Nonfamily Households $50,000 to $74,999 Margin of Error","Nonfamily Households $75,000 to $99,999","Nonfamily Households $75,000 to $99,999 Margin of Error","Nonfamily Households $100,000 to $149,999","Nonfamily Households $100,000 to $149,999 Margin of Error","Nonfamily Households $150,000 to $199,999","Nonfamily Households $150,000 to $199,999 Margin of Error","Nonfamily Households $200,000 or More","Nonfamily Households $200,000 or More Margin of Error",Nonfamily Households Median Income (Dollars),Nonfamily Households Median Income (Dollars) Margin of Error,Nonfamily Households Mean Income (Dollars),Nonfamily Households Mean Income (Dollars) Margin of Error,Nonfamily Households Nonfamily Income in the Past 12 Months
Atlanta,2021.0,0,1,2299647,2100000000,2187099.0,125140.0,1052.1999999999998,913.3999999999999,728.1,775.3,1684.6999999999998,881.4000000000001,1644.0,996.2,2552.1000000000004,1087.2000000000003,3597.3,1234.7,2831.2,1184.5,3454.8999999999996,1124.6,1589.0,945.2,1867.5,870.2,15334937.0,2027699.0,20110408.0,2211769.0,7830.0,1466651.0,110527.0,650.1999999999999,981.4000000000001,400.70000000000005,935.4000000000001,1402.6999999999998,1032.4,1388.5,1197.7,2210.6000000000004,1257.4,3495.8999999999996,1543.5,2928.8999999999996,1464.9,4000.2,1470.4,1976.0,1250.7,2547.3999999999996,1194.8000000000002,18508871.0,2581781.0,23717039.0,3003005.0,8187.7,1053232.0,97632.0,250.5,1121.7000000000003,206.2,1061.0,852.8000000000001,1062.1,944.4000000000001,1239.5,1852.2000000000003,1438.2999999999997,3366.9,1778.5,3144.3,1747.6,4739.0,1859.3999999999999,2421.2000000000003,1563.1,3223.0,1499.8000000000002,21983309.0,3013432.0,103021.0,12345.0,720448.0,95779.0,2109.8999999999996,1825.1000000000004,1512.1,1607.9,2567.5000000000005,1793.9,2324.2,1773.5,3401.3,2053.7,3624.2,2072.0,2324.3,1796.7999999999997,1812.6000000000001,1694.3999999999999,575.6,1454.6,647.3,1472.5,8978333.0,2104775.0,12311549.0,2461058.0,6793.2
Atlanta,2020.0,0,1,0,1900000000,2132113.0,126396.0,1136.1000000000001,810.1000000000001,771.0,731.4999999999999,1736.7,934.8999999999999,1767.0,889.9,2558.8999999999996,1148.4,3707.1,1116.5,2904.5,1076.7999999999997,3381.5,1070.0,1426.3,892.9,1613.1,850.2,14321947.0,1788709.0,18770142.0,1901663.0,7756.899999999999,1430630.0,108689.0,731.5,876.1000000000001,414.9,857.8,1345.9,1077.7,1509.3,1082.7,2281.3999999999996,1309.8000000000002,3679.7,1356.9,3102.2,1315.6999999999998,3927.7000000000003,1367.8000000000002,1801.1999999999998,1184.4,2207.2999999999997,1153.1999999999998,17543200.0,2393180.0,22198036.0,2667595.0,8058.4,1025932.0,96513.0,361.0,1045.6,214.8,1046.4,897.9000000000001,1159.5,1087.0,1239.4,1937.1000000000001,1471.1999999999998,3547.2,1737.8999999999999,3271.8999999999996,1711.0,4529.0,1786.7,2329.2999999999997,1504.8999999999999,2725.3999999999996,1437.4,20552547.0,2855484.0,81096.0,5360.0,701483.0,94080.0,2235.2,1746.4,1567.0,1498.0,2825.4,1764.1999999999998,2501.1000000000004,1706.1,3241.5,1885.4000000000005,3658.6,2026.3,2057.7999999999997,1590.6,1674.6,1545.3999999999999,505.2,1345.7,534.2,1363.8999999999999,8574443.0,1917715.0,11479625.0,2135031.0,6641.4
Atlanta,2019.0,0,1,2654920,1800000000,2083239.0,83709.0,1265.7000000000003,801.9,815.0,698.4999999999999,1803.9,892.0999999999999,1833.3999999999999,846.6000000000001,2648.2,1033.9,3801.7,1080.8,2801.5,976.5000000000001,3262.8,967.5,1297.6,753.7,1470.5,755.5,13876900.0,1538982.0,18067578.0,1604415.0,7421.3,1398874.0,78646.0,858.7,1022.4,461.5,873.4999999999998,1398.4,1091.4,1600.4,1120.1,2399.8000000000006,1268.1000000000001,3696.4,1329.4000000000003,3010.0,1272.3,3834.8,1316.9,1729.5,1064.4,2011.1,1072.9,16727997.0,2046600.0,21197378.0,2161520.0,7761.7,1005591.0,73113.0,329.30000000000007,1016.4999999999999,227.1,975.1000000000003,811.0,1105.0,1245.2,1181.6999999999998,2079.3,1448.2,3719.7999999999997,1572.9,3346.1000000000004,1566.7,4521.200000000001,1694.6,2137.5,1297.5,2481.7,1299.5,19786666.0,2558743.0,218223.0,17627.0,684365.0,73711.0,2323.5,1580.2000000000003,1650.1999999999998,1409.7000000000003,2962.0,1731.1,2510.8,1571.0,3189.8,1802.5,3699.6000000000004,1896.9,2032.0,1465.4,1616.4,1440.6,436.9,1250.3,478.59999999999997,1264.4,8429231.0,1738605.0,11192645.0,1883416.0,6345.6
Atlanta,2018.0,0,1,2555781,1700000000,2044598.0,79769.0,1329.1999999999998,633.3,882.5,554.9999999999999,1919.5,747.5,1944.1,764.2000000000002,2740.3,939.2,3795.8,948.3,2663.8,837.5999999999999,2973.6000000000004,844.9000000000001,1314.3999999999999,609.1,1335.7,595.8000000000001,13205681.0,1403335.0,17336219.0,1569588.0,7180.800000000001,1380073.0,76245.0,927.3999999999999,897.0999999999998,513.7,719.5,1526.7999999999997,907.5000000000001,1725.0,975.3,2547.2000000000003,1167.9,3664.5,1164.2,2922.0999999999995,1124.1999999999998,3515.0000000000005,1161.0,1739.3999999999999,890.0999999999999,1819.6,886.5,16093020.0,2094085.0,20220283.0,2052277.0,7470.699999999999,988604.0,70987.0,354.70000000000005,870.0000000000001,266.90000000000003,861.8000000000001,938.9,944.0,1354.8000000000002,1036.1,2262.6000000000004,1326.8999999999999,3781.2000000000003,1442.1,3295.0,1402.6,4266.0,1464.8,2129.2999999999997,1131.1999999999998,2250.5,1127.6,18962671.0,2408931.0,412885.0,27550.0,664525.0,71212.0,2501.8999999999996,1538.3000000000002,1791.0,1352.6,3099.2000000000003,1703.8999999999999,2530.9000000000005,1559.3,3169.1,1798.4999999999998,3651.1000000000004,1782.3000000000002,1764.4,1416.0,1547.1,1437.8,417.1,1290.3999999999999,427.9,1274.8,7918807.0,1507701.0,10792810.0,1890269.0,6291.299999999999
Atlanta,2017.0,0,1,2505252,1600000000,2009358.0,79349.0,1385.5000000000002,688.6000000000001,969.2,636.7,1998.9,780.9000000000001,2133.3999999999996,829.4000000000001,2865.5,953.2999999999998,3826.3999999999996,1018.5000000000002,2621.2000000000003,852.8000000000001,2874.3999999999996,920.4999999999999,1131.6999999999998,680.8,1192.6999999999998,646.8000000000001,12485173.0,1360221.0,16511818.0,1488643.0,7048.4,1357262.0,76413.0,970.8,938.4000000000001,545.3,785.0,1643.7999999999997,983.4999999999999,1989.8999999999999,1054.6,2657.0,1234.1999999999998,3762.5999999999995,1238.7,2900.0,1126.5,3434.0,1240.5,1457.4,952.3,1640.6,932.9000000000001,15158442.0,1934867.0,19323492.0,2005887.0,7338.800000000001,971391.0,71214.0,370.29999999999995,941.0,292.2,911.1,1081.8000000000002,1024.0,1628.4,1139.1,2386.5999999999995,1355.9,3873.8,1451.3000000000002,3356.8999999999996,1390.2,4185.2,1557.5,1797.6999999999998,1174.3000000000002,2026.8000000000002,1162.5,18115356.0,2336868.0,247287.0,15076.0,652096.0,70631.0,2568.9,1510.3,1990.1,1372.1999999999998,3073.7,1654.1000000000001,2507.7000000000003,1525.6,3361.5,1664.3000000000002,3544.3,1629.1999999999998,1695.7,1430.3999999999999,1412.2999999999997,1399.6,371.09999999999997,1209.1,373.79999999999995,1172.8,7617423.0,1477776.0,10374040.0,1860899.0,6216.2
Atlanta,2016.0,0,1,2020914,1500000000,1975333.0,77683.0,1477.6,685.8000000000001,981.8,629.0,2123.3,797.0,2211.1000000000004,861.2,2910.3,923.0000000000001,3831.6000000000004,1001.4000000000002,2553.5,843.9000000000001,2757.0,899.1,1070.8,660.8,1082.8000000000002,621.1,11976874.0,1260859.0,15820544.0,1431458.0,6919.700000000001,1335192.0,74089.0,1071.3,923.8,604.4000000000001,767.1,1757.4,1006.3,2061.6,1024.1999999999998,2755.0,1169.1999999999998,3751.5,1215.6999999999998,2829.7,1088.1,3292.7,1210.5,1385.6,924.8,1489.9,875.6000000000001,14422996.0,1850252.0,18417566.0,1909312.0,7182.799999999999,953594.0,68685.0,384.6,930.0,301.50000000000006,893.0,1168.9,1031.6999999999998,1704.2,1160.1000000000001,2528.5,1365.8999999999999,3934.7,1472.3999999999999,3318.1,1379.1000000000001,4092.1999999999994,1543.5,1715.8000000000002,1168.9,1851.4,1115.4,17360437.0,2182178.0,387862.0,26058.0,640141.0,68547.0,2707.7,1498.9,2000.7000000000003,1412.6999999999998,3175.3999999999996,1677.1,2552.3,1561.4,3303.1000000000004,1628.1,3569.0,1649.5000000000005,1602.3000000000002,1411.6,1276.1999999999998,1354.5,366.3,1231.5,347.90000000000003,1206.4,7403636.0,1493724.0,9988784.0,1783403.0,6078.199999999999
Atlanta,2015.0,0,1,2001392,1200000000,1945983.0,79480.0,1581.5,689.8,1011.3000000000001,608.1,2175.3999999999996,799.0999999999999,2209.5,841.2,2968.7999999999997,950.0,3827.0,1009.3,2536.5,843.4000000000001,2675.7,903.5000000000001,1030.7,667.8,983.7,603.3,11668386.0,1277989.0,15312625.0,1391550.0,6760.299999999999,1318985.0,75792.0,1156.7,905.3000000000001,651.2,773.2,1816.2000000000003,1027.9,2081.0,1021.9000000000002,2806.5999999999995,1205.8999999999999,3777.6,1221.2,2819.9000000000005,1083.3999999999999,3196.5,1233.3,1324.2,927.8000000000001,1370.8000000000002,854.0,13896501.0,1804782.0,17812723.0,1854602.0,7002.7,940494.0,70542.0,409.1,956.2,349.4,921.9999999999999,1238.6,1069.1000000000001,1780.7,1199.6,2608.2999999999997,1394.4,3988.5,1480.3,3331.9999999999995,1383.9,3938.7,1569.1000000000001,1653.8000000000002,1181.5000000000002,1702.9,1104.5,7682351.0,839178.0,755422.0,59963.0,626998.0,69188.0,2906.1,1563.4,2013.6000000000001,1430.9,3176.2000000000007,1651.3,2573.3999999999996,1621.5,3217.0,1673.0,3559.7,1805.0,1563.8,1434.6,1222.2,1440.7000000000003,349.5,1280.3000000000002,317.79999999999995,1278.1000000000001,7213545.0,1585954.0,9700221.0,1735825.0,5934.299999999999
Atlanta,2014.0,0,1,2354305,1200000000,1919063.0,79514.0,1582.4,683.0,988.2,606.0999999999999,2175.1,807.8,2240.5,863.9,2961.3999999999996,956.4000000000001,3822.6,1019.3,2599.3,853.8,2675.2,849.5999999999999,996.8,650.6,959.1000000000001,598.4000000000001,11687150.0,1424139.0,15202181.0,1358570.0,6633.8,1303792.0,75303.0,1159.1,885.0999999999998,648.4000000000001,826.9,1794.9,1027.1,2086.0,1043.6,2835.3,1213.8999999999999,3802.2,1227.8,2886.3999999999996,1096.1999999999998,3203.2,1168.4,1256.6,914.1999999999998,1327.6999999999998,827.4000000000002,13946208.0,2092863.0,17614769.0,1809901.0,6863.1,928452.0,70220.0,414.69999999999993,935.9000000000001,338.70000000000005,905.3999999999999,1232.2,1046.5,1735.7,1220.6999999999998,2635.5,1382.2000000000003,4014.5,1468.0,3403.1000000000004,1373.4,3983.3999999999996,1480.6000000000001,1583.3000000000002,1150.2,1660.1,1043.4,16780364.0,2469233.0,470997.0,42690.0,615271.0,67938.0,2869.3,1631.4,1962.6999999999998,1435.8000000000002,3231.5,1685.6999999999998,2594.1,1596.2000000000003,3236.6000000000004,1622.5,3531.2,1716.7999999999997,1569.5,1445.0,1232.5,1471.8000000000002,354.4,1278.3,317.4,1256.3,7260382.0,1730386.0,9660796.0,1784562.0,5788.1
Atlanta,2013.0,0,1,2548679,730000000,1899925.0,79390.0,1573.4,732.5,1030.8999999999999,580.1999999999999,2136.7000000000003,771.5,2241.4,861.0000000000001,2961.1000000000004,992.9000000000001,3929.3999999999996,1028.1000000000001,2599.7,873.0999999999999,2658.3999999999996,858.2000000000002,952.5,690.7,916.4000000000001,628.5999999999999,11697401.0,1375851.0,15045113.0,1326324.0,6488.5,1293529.0,74582.0,1119.1999999999998,913.0000000000002,689.9,912.7,1806.3999999999999,1110.4,2056.3,1035.9,2806.5,1234.7,3944.8999999999996,1242.2,2861.5,1116.6,3216.2,1209.1,1211.6999999999998,957.6000000000001,1286.4,891.5999999999999,13986473.0,2013587.0,17486981.0,1822416.0,6758.9,925422.0,69142.0,416.30000000000007,1016.8000000000001,347.5,977.0,1197.8,1154.7,1711.4,1212.0,2641.3,1396.2,4174.9,1465.2,3362.7,1365.2000000000003,4022.9,1519.3000000000002,1528.5,1194.8999999999999,1597.9,1086.8999999999999,16769610.0,2322327.0,603142.0,73723.0,606396.0,68199.0,2835.7999999999997,1642.8000000000002,1988.4,1429.1000000000001,3111.1000000000004,1603.5,2745.8999999999996,1579.1000000000001,3261.1,1706.9,3528.5,1707.4,1629.6,1501.6,1173.5,1473.0,318.4,1338.8000000000002,305.9,1322.6,7389238.0,1799034.0,9592982.0,1716694.0,5601.9
Atlanta,2012.0,0,1,2420171,629000000,1889542.0,78927.0,1532.6,774.3999999999999,1054.0,695.6,2166.8,877.7,2189.6000000000004,907.5000000000001,2917.8,1101.2,3980.6000000000004,1054.9999999999998,2618.2,957.2,2668.6,886.8,955.5,751.3,916.6,706.3999999999999,11794804.0,1372787.0,15054798.0,1322066.0,6512.200000000001,1288648.0,74751.0,1046.6,944.1999999999998,760.0,807.3000000000001,1878.6999999999998,1111.8,2007.1,1073.8,2758.3,1265.5,3967.2,1240.6999999999998,2893.0,1208.7,3202.7999999999993,1169.9,1205.8000000000002,981.2000000000002,1278.6,930.5,13967609.0,1922927.0,17424459.0,1807720.0,6794.200000000001,925975.0,68400.0,373.69999999999993,1129.1,416.9,1020.6,1259.7000000000003,1270.1,1647.2999999999997,1294.4999999999998,2564.3,1484.5,4163.1,1520.1,3440.0,1530.0,4022.6,1546.1,1520.9,1293.8999999999999,1593.4,1224.0,16749391.0,2364329.0,557298.0,49061.0,600894.0,66248.0,2821.2,1575.0,1942.9,1493.3,3061.5,1625.9,2700.5,1625.3,3216.4999999999995,1699.6999999999998,3584.7999999999997,1643.8,1638.7000000000003,1441.3999999999996,1196.1,1368.7,341.1,1249.0,295.5,1314.6999999999998,7421066.0,1856847.0,9575188.0,1673159.0,5595.2
