Market,Year,Dome,NumTeams,Households,Households Margin of Error,"Households Less Than $10,000","Households Less Than $10,000 Margin of Error","Households $10,000 to $14,999","Households $10,000 to $14,999 Margin of Error","Households $15,000 to $24,999","Households $15,000 to $24,999 Margin of Error","Households $25,000 to $34,999","Households $25,000 to $34,999 Margin of Error","Households $35,000 to $49,999","Households $35,000 to $49,999 Margin of Error","Households $50,000 to $74,999","Households $50,000 to $74,999 Margin of Error","Households $75,000 to $99,999","Households $75,000 to $99,999 Margin of Error","Households $100,000 to $149,999","Households $100,000 to $149,999 Margin of Error","Households $150,000 to $199,999","Households $150,000 to $199,999 Margin of Error","Households $200,000 or More","Households $200,000 or More Margin of Error",Households Median Income (Dollars),Households Median Income (Dollars) Margin of Error,Households Mean Income (Dollars),Households Mean Income (Dollars) Margin of Error,Households Household Income in the Past 12 Months,Families,Families Margin of Error,"Families Less Than $10,000","Families Less Than $10,000 Margin of Error","Families $10,000 to $14,999","Families $10,000 to $14,999 Margin of Error","Families $15,000 to $24,999","Families $15,000 to $24,999 Margin of Error","Families $25,000 to $34,999","Families $25,000 to $34,999 Margin of Error","Families $35,000 to $49,999","Families $35,000 to $49,999 Margin of Error","Families $50,000 to $74,999","Families $50,000 to $74,999 Margin of Error","Families $75,000 to $99,999","Families $75,000 to $99,999 Margin of Error","Families $100,000 to $149,999","Families $100,000 to $149,999 Margin of Error","Families $150,000 to $199,999","Families $150,000 to $199,999 Margin of Error","Families $200,000 or More","Families $200,000 or More Margin of Error",Families Median Income (Dollars),Families Median Income (Dollars) Margin of Error,Families Mean Income (Dollars),Families Mean Income (Dollars) Margin of Error,Families Family Income in the Past 12 Months,Married-Couple Families,Married-Couple Families Margin of Error,"Married-Couple Families Less Than $10,000","Married-Couple Families Less Than $10,000 Margin of Error","Married-Couple Families $10,000 to $14,999","Married-Couple Families $10,000 to $14,999 Margin of Error","Married-Couple Families $15,000 to $24,999","Married-Couple Families $15,000 to $24,999 Margin of Error","Married-Couple Families $25,000 to $34,999","Married-Couple Families $25,000 to $34,999 Margin of Error","Married-Couple Families $35,000 to $49,999","Married-Couple Families $35,000 to $49,999 Margin of Error","Married-Couple Families $50,000 to $74,999","Married-Couple Families $50,000 to $74,999 Margin of Error","Married-Couple Families $75,000 to $99,999","Married-Couple Families $75,000 to $99,999 Margin of Error","Married-Couple Families $100,000 to $149,999","Married-Couple Families $100,000 to $149,999 Margin of Error","Married-Couple Families $150,000 to $199,999","Married-Couple Families $150,000 to $199,999 Margin of Error","Married-Couple Families $200,000 or More","Married-Couple Families $200,000 or More Margin of Error",Married-Couple Families Median Income (Dollars),Married-Couple Families Median Income (Dollars) Margin of Error,Married-Couple Families Mean Income (Dollars),Married-Couple Families Mean Income (Dollars) Margin of Error,Nonfamily Households,Nonfamily Households Margin of Error,"Nonfamily Households Less Than $10,000","Nonfamily Households Less Than $10,000 Margin of Error","Nonfamily Households $10,000 to $14,999","Nonfamily Households $10,000 to $14,999 Margin of Error","Nonfamily Households $15,000 to $24,999","Nonfamily Households $15,000 to $24,999 Margin of Error","Nonfamily Households $25,000 to $34,999","Nonfamily Households $25,000 to $34,999 Margin of Error","Nonfamily Households $35,000 to $49,999","Nonfamily Households $35,000 to $49,999 Margin of Error","Nonfamily Households $50,000 to $74,999","Nonfamily Households $50,000 to $74,999 Margin of Error","Nonfamily Households $75,000 to $99,999","Nonfamily Households $75,000 to $99,999 Margin of Error","Nonfamily Households $100,000 to $149,999","Nonfamily Households $100,000 to $149,999 Margin of Error","Nonfamily Households $150,000 to $199,999","Nonfamily Households $150,000 to $199,999 Margin of Error","Nonfamily Households $200,000 or More","Nonfamily Households $200,000 or More Margin of Error",Nonfamily Households Median Income (Dollars),Nonfamily Households Median Income (Dollars) Margin of Error,Nonfamily Households Mean Income (Dollars),Nonfamily Households Mean Income (Dollars) Margin of Error,Nonfamily Households Nonfamily Income in the Past 12 Months,ClosestMarket,ClosestMarketDistance
Albuquerque,2021.0,0,1,373092.0,19590.0,443.5999999999999,486.6000000000001,282.2,433.3999999999999,669.6999999999999,467.1,551.6,473.8,707.4000000000001,545.3,972.3,548.5,648.6999999999999,549.5,716.6999999999999,502.6000000000001,304.2,491.2000000000001,304.80000000000007,476.1,3068464.0,571316.0,4062303.0,587652.0,1861.1,227709.0,17248.0,262.1,514.0,164.1,498.8,455.7,418.0000000000001,503.0,481.50000000000006,680.3999999999999,500.3,953.4,517.7,710.2,554.8000000000001,880.3,508.7000000000001,398.6,508.50000000000006,392.1,540.9,3752151.0,693986.0,4726225.0,713026.0,1901.7000000000005,155428.0,14749.0,124.20000000000002,595.4,140.5,640.3,263.8,522.6,362.6,536.9,696.9000000000001,625.3000000000002,943.2,601.2999999999998,839.0,701.6000000000001,1062.7000000000005,621.4,495.0,633.4,472.0,684.4999999999999,4362356.0,804003.0,655513.0,44499.0,145383.0,16104.0,854.6999999999999,889.9,500.1,788.3,1025.9,849.7,641.3000000000001,762.5,774.5,881.5000000000001,812.9,884.4999999999999,420.3,972.2,356.1,988.7,110.40000000000002,985.7,104.3,944.5,1795475.0,549544.0,2449235.0,557607.0,1776.8,,
Albuquerque,2021.0,1,1,373092.0,19590.0,443.5999999999999,486.6000000000001,282.2,433.3999999999999,669.6999999999999,467.1,551.6,473.8,707.4000000000001,545.3,972.3,548.5,648.6999999999999,549.5,716.6999999999999,502.6000000000001,304.2,491.2000000000001,304.80000000000007,476.1,3068464.0,571316.0,4062303.0,587652.0,1861.1,227709.0,17248.0,262.1,514.0,164.1,498.8,455.7,418.0000000000001,503.0,481.50000000000006,680.3999999999999,500.3,953.4,517.7,710.2,554.8000000000001,880.3,508.7000000000001,398.6,508.50000000000006,392.1,540.9,3752151.0,693986.0,4726225.0,713026.0,1901.7000000000005,155428.0,14749.0,124.20000000000002,595.4,140.5,640.3,263.8,522.6,362.6,536.9,696.9000000000001,625.3000000000002,943.2,601.2999999999998,839.0,701.6000000000001,1062.7000000000005,621.4,495.0,633.4,472.0,684.4999999999999,4362356.0,804003.0,655513.0,44499.0,145383.0,16104.0,854.6999999999999,889.9,500.1,788.3,1025.9,849.7,641.3000000000001,762.5,774.5,881.5000000000001,812.9,884.4999999999999,420.3,972.2,356.1,988.7,110.40000000000002,985.7,104.3,944.5,1795475.0,549544.0,2449235.0,557607.0,1776.8,,
Albuquerque,2020.0,0,1,370359.0,19814.0,458.6,409.69999999999993,332.2,423.9,702.2,443.6,592.5,435.9,719.8,455.2,841.4,485.00000000000006,665.0,494.2000000000001,707.4,468.9,271.6,428.1,309.40000000000003,415.2000000000001,2898744.0,559318.0,3800689.0,535789.0,1924.8,227459.0,17394.0,269.8,494.7,222.5,519.7,566.0999999999999,496.4,545.0,488.0,689.3,570.2,861.0999999999999,616.2,746.0999999999999,572.6,918.8,577.4000000000001,354.70000000000005,529.3999999999999,326.5,571.9,3475648.0,593538.0,4443842.0,687897.0,1904.3,156700.0,14682.0,130.7,547.8000000000001,195.7,620.0,283.0,625.0,392.2,479.9,713.0,593.9,880.9000000000001,675.2,849.3000000000001,641.4000000000001,1116.2000000000005,610.8,441.4,591.8,397.8,654.3000000000001,4215725.0,820241.0,366859.0,26561.0,142900.0,16041.0,892.3000000000001,780.5,580.1999999999999,800.3,974.7,775.2,674.3,685.1,698.9,805.8000000000001,747.3,753.9,452.4,876.1999999999999,332.0,895.4,94.1,906.5,154.3,822.1,1582101.0,417661.0,2357755.0,539532.0,1768.1999999999998,,
Albuquerque,2020.0,1,1,370359.0,19814.0,458.6,409.69999999999993,332.2,423.9,702.2,443.6,592.5,435.9,719.8,455.2,841.4,485.00000000000006,665.0,494.2000000000001,707.4,468.9,271.6,428.1,309.40000000000003,415.2000000000001,2898744.0,559318.0,3800689.0,535789.0,1924.8,227459.0,17394.0,269.8,494.7,222.5,519.7,566.0999999999999,496.4,545.0,488.0,689.3,570.2,861.0999999999999,616.2,746.0999999999999,572.6,918.8,577.4000000000001,354.70000000000005,529.3999999999999,326.5,571.9,3475648.0,593538.0,4443842.0,687897.0,1904.3,156700.0,14682.0,130.7,547.8000000000001,195.7,620.0,283.0,625.0,392.2,479.9,713.0,593.9,880.9000000000001,675.2,849.3000000000001,641.4000000000001,1116.2000000000005,610.8,441.4,591.8,397.8,654.3000000000001,4215725.0,820241.0,366859.0,26561.0,142900.0,16041.0,892.3000000000001,780.5,580.1999999999999,800.3,974.7,775.2,674.3,685.1,698.9,805.8000000000001,747.3,753.9,452.4,876.1999999999999,332.0,895.4,94.1,906.5,154.3,822.1,1582101.0,417661.0,2357755.0,539532.0,1768.1999999999998,,
Albuquerque,2019.0,0,1,363881.0,12379.0,505.7000000000001,384.2000000000001,337.2,343.1,759.9,428.4,588.2999999999998,378.6000000000001,735.9000000000001,425.1,844.5999999999999,435.6,637.8,457.2,630.8,381.6,251.6,374.4,307.2,403.6,2702610.0,349338.0,3642229.0,467131.0,1906.2,225082.0,12573.0,308.6,440.1,252.2,414.1,628.5,470.2,556.2,439.6,706.0,538.5,858.1,563.0,711.4000000000001,553.5999999999999,822.2,507.2,337.0,495.9,319.70000000000005,550.6999999999999,3351906.0,609424.0,4261939.0,620486.0,1883.7,156345.0,11691.0,141.9,529.5999999999999,206.3,551.0999999999999,384.69999999999993,491.4,426.1,507.0,746.5,574.8,885.1,627.0999999999999,807.0,640.5,1008.1,582.3000000000001,415.3,580.8,378.9,639.7,3785640.0,669881.0,548507.0,39504.0,138799.0,12376.0,961.0,779.7,540.0,707.3000000000001,992.8,716.3,640.0,649.2,737.1,726.5000000000001,740.0999999999999,716.6,448.7,742.8,292.5,797.5000000000001,94.5,803.9000000000001,152.7,754.6,1553939.0,345765.0,2293155.0,486458.0,1753.6,,
Albuquerque,2019.0,1,1,363881.0,12379.0,505.7000000000001,384.2000000000001,337.2,343.1,759.9,428.4,588.2999999999998,378.6000000000001,735.9000000000001,425.1,844.5999999999999,435.6,637.8,457.2,630.8,381.6,251.6,374.4,307.2,403.6,2702610.0,349338.0,3642229.0,467131.0,1906.2,225082.0,12573.0,308.6,440.1,252.2,414.1,628.5,470.2,556.2,439.6,706.0,538.5,858.1,563.0,711.4000000000001,553.5999999999999,822.2,507.2,337.0,495.9,319.70000000000005,550.6999999999999,3351906.0,609424.0,4261939.0,620486.0,1883.7,156345.0,11691.0,141.9,529.5999999999999,206.3,551.0999999999999,384.69999999999993,491.4,426.1,507.0,746.5,574.8,885.1,627.0999999999999,807.0,640.5,1008.1,582.3000000000001,415.3,580.8,378.9,639.7,3785640.0,669881.0,548507.0,39504.0,138799.0,12376.0,961.0,779.7,540.0,707.3000000000001,992.8,716.3,640.0,649.2,737.1,726.5000000000001,740.0999999999999,716.6,448.7,742.8,292.5,797.5000000000001,94.5,803.9000000000001,152.7,754.6,1553939.0,345765.0,2293155.0,486458.0,1753.6,,
Albuquerque,2018.0,0,1,359680.0,11779.0,505.50000000000006,380.6,296.9,303.5,731.0,380.7,585.8000000000001,366.4,717.5999999999999,376.5,872.1,410.1,572.6999999999999,373.3,604.9,387.50000000000006,227.5,390.6,286.9,383.9,2673177.0,403952.0,3455921.0,406289.0,1738.2,224225.0,12343.0,377.2,411.8,194.2,348.5,577.5,422.6,589.9,421.8,666.8,445.5,872.7,511.4,697.4,443.5,750.8000000000001,498.00000000000006,295.5,496.00000000000006,278.1,514.0,3196370.0,596296.0,3975992.0,508461.0,1679.9,157248.0,11548.0,256.3,491.1,134.7,567.2,392.7,530.3,468.4,492.6,751.5,601.5999999999999,895.1,651.4,791.0999999999999,598.4,912.8,651.4,360.3,678.9000000000001,337.5,700.5999999999999,3733575.0,676691.0,518197.0,31799.0,135455.0,11971.0,892.9,793.9000000000001,544.6999999999999,682.5,926.3,713.6999999999999,585.5999999999999,658.8000000000001,800.1,717.3,791.4,729.9000000000001,335.9,769.0000000000001,270.9,824.5,86.1,832.3000000000001,165.60000000000002,783.1,1459826.0,324059.0,2218890.0,496548.0,1623.7,,
Albuquerque,2018.0,1,1,359680.0,11779.0,505.50000000000006,380.6,296.9,303.5,731.0,380.7,585.8000000000001,366.4,717.5999999999999,376.5,872.1,410.1,572.6999999999999,373.3,604.9,387.50000000000006,227.5,390.6,286.9,383.9,2673177.0,403952.0,3455921.0,406289.0,1738.2,224225.0,12343.0,377.2,411.8,194.2,348.5,577.5,422.6,589.9,421.8,666.8,445.5,872.7,511.4,697.4,443.5,750.8000000000001,498.00000000000006,295.5,496.00000000000006,278.1,514.0,3196370.0,596296.0,3975992.0,508461.0,1679.9,157248.0,11548.0,256.3,491.1,134.7,567.2,392.7,530.3,468.4,492.6,751.5,601.5999999999999,895.1,651.4,791.0999999999999,598.4,912.8,651.4,360.3,678.9000000000001,337.5,700.5999999999999,3733575.0,676691.0,518197.0,31799.0,135455.0,11971.0,892.9,793.9000000000001,544.6999999999999,682.5,926.3,713.6999999999999,585.5999999999999,658.8000000000001,800.1,717.3,791.4,729.9000000000001,335.9,769.0000000000001,270.9,824.5,86.1,832.3000000000001,165.60000000000002,783.1,1459826.0,324059.0,2218890.0,496548.0,1623.7,,
Albuquerque,2017.0,0,1,357222.0,12171.0,526.4000000000001,401.5,345.1,369.9,770.5,457.7000000000001,558.6999999999999,404.6,762.6000000000001,450.0,995.0,465.00000000000006,574.0,392.0999999999999,599.4000000000001,435.3,241.4,400.00000000000006,225.6,414.8,2669014.0,388918.0,3634891.0,592229.0,1899.5,223998.0,11987.0,393.3,476.6,184.9,415.5,616.3000000000001,420.3,586.1,480.4,688.5,516.6999999999999,1047.1,599.3,677.6,473.8,745.9,524.3,314.4,521.0,244.6,546.4,3209368.0,555682.0,3982643.0,505877.0,1946.2,156453.0,11406.0,214.1,576.1999999999999,112.5,590.5000000000001,434.4,536.1,522.4,612.9000000000001,775.9000000000001,653.9,1088.5,733.6,783.9,613.4000000000001,913.9,677.9,355.4,718.6999999999999,298.5,725.0000000000001,3730873.0,663290.0,396222.0,24827.0,133224.0,11809.0,987.5,895.1999999999999,623.3,751.4,949.1,852.5,539.9,810.2,902.0,757.8,769.8,833.7,368.1,848.2,274.2,908.8,70.3,906.3,115.6,883.9,1499978.0,371632.0,2377924.0,697884.0,1589.9,,
Albuquerque,2017.0,1,1,357222.0,12171.0,526.4000000000001,401.5,345.1,369.9,770.5,457.7000000000001,558.6999999999999,404.6,762.6000000000001,450.0,995.0,465.00000000000006,574.0,392.0999999999999,599.4000000000001,435.3,241.4,400.00000000000006,225.6,414.8,2669014.0,388918.0,3634891.0,592229.0,1899.5,223998.0,11987.0,393.3,476.6,184.9,415.5,616.3000000000001,420.3,586.1,480.4,688.5,516.6999999999999,1047.1,599.3,677.6,473.8,745.9,524.3,314.4,521.0,244.6,546.4,3209368.0,555682.0,3982643.0,505877.0,1946.2,156453.0,11406.0,214.1,576.1999999999999,112.5,590.5000000000001,434.4,536.1,522.4,612.9000000000001,775.9000000000001,653.9,1088.5,733.6,783.9,613.4000000000001,913.9,677.9,355.4,718.6999999999999,298.5,725.0000000000001,3730873.0,663290.0,396222.0,24827.0,133224.0,11809.0,987.5,895.1999999999999,623.3,751.4,949.1,852.5,539.9,810.2,902.0,757.8,769.8,833.7,368.1,848.2,274.2,908.8,70.3,906.3,115.6,883.9,1499978.0,371632.0,2377924.0,697884.0,1589.9,,
