Market,Year,Dome,NumTeams,Attendance,Valuation,Households,Households Margin of Error,"Households Less Than $10,000","Households Less Than $10,000 Margin of Error","Households $10,000 to $14,999","Households $10,000 to $14,999 Margin of Error","Households $15,000 to $24,999","Households $15,000 to $24,999 Margin of Error","Households $25,000 to $34,999","Households $25,000 to $34,999 Margin of Error","Households $35,000 to $49,999","Households $35,000 to $49,999 Margin of Error","Households $50,000 to $74,999","Households $50,000 to $74,999 Margin of Error","Households $75,000 to $99,999","Households $75,000 to $99,999 Margin of Error","Households $100,000 to $149,999","Households $100,000 to $149,999 Margin of Error","Households $150,000 to $199,999","Households $150,000 to $199,999 Margin of Error","Households $200,000 or More","Households $200,000 or More Margin of Error",Households Median Income (Dollars),Households Median Income (Dollars) Margin of Error,Households Mean Income (Dollars),Households Mean Income (Dollars) Margin of Error,Households Household Income in the Past 12 Months,Families,Families Margin of Error,"Families Less Than $10,000","Families Less Than $10,000 Margin of Error","Families $10,000 to $14,999","Families $10,000 to $14,999 Margin of Error","Families $15,000 to $24,999","Families $15,000 to $24,999 Margin of Error","Families $25,000 to $34,999","Families $25,000 to $34,999 Margin of Error","Families $35,000 to $49,999","Families $35,000 to $49,999 Margin of Error","Families $50,000 to $74,999","Families $50,000 to $74,999 Margin of Error","Families $75,000 to $99,999","Families $75,000 to $99,999 Margin of Error","Families $100,000 to $149,999","Families $100,000 to $149,999 Margin of Error","Families $150,000 to $199,999","Families $150,000 to $199,999 Margin of Error","Families $200,000 or More","Families $200,000 or More Margin of Error",Families Median Income (Dollars),Families Median Income (Dollars) Margin of Error,Families Mean Income (Dollars),Families Mean Income (Dollars) Margin of Error,Families Family Income in the Past 12 Months,Married-Couple Families,Married-Couple Families Margin of Error,"Married-Couple Families Less Than $10,000","Married-Couple Families Less Than $10,000 Margin of Error","Married-Couple Families $10,000 to $14,999","Married-Couple Families $10,000 to $14,999 Margin of Error","Married-Couple Families $15,000 to $24,999","Married-Couple Families $15,000 to $24,999 Margin of Error","Married-Couple Families $25,000 to $34,999","Married-Couple Families $25,000 to $34,999 Margin of Error","Married-Couple Families $35,000 to $49,999","Married-Couple Families $35,000 to $49,999 Margin of Error","Married-Couple Families $50,000 to $74,999","Married-Couple Families $50,000 to $74,999 Margin of Error","Married-Couple Families $75,000 to $99,999","Married-Couple Families $75,000 to $99,999 Margin of Error","Married-Couple Families $100,000 to $149,999","Married-Couple Families $100,000 to $149,999 Margin of Error","Married-Couple Families $150,000 to $199,999","Married-Couple Families $150,000 to $199,999 Margin of Error","Married-Couple Families $200,000 or More","Married-Couple Families $200,000 or More Margin of Error",Married-Couple Families Median Income (Dollars),Married-Couple Families Median Income (Dollars) Margin of Error,Married-Couple Families Mean Income (Dollars),Married-Couple Families Mean Income (Dollars) Margin of Error,Nonfamily Households,Nonfamily Households Margin of Error,"Nonfamily Households Less Than $10,000","Nonfamily Households Less Than $10,000 Margin of Error","Nonfamily Households $10,000 to $14,999","Nonfamily Households $10,000 to $14,999 Margin of Error","Nonfamily Households $15,000 to $24,999","Nonfamily Households $15,000 to $24,999 Margin of Error","Nonfamily Households $25,000 to $34,999","Nonfamily Households $25,000 to $34,999 Margin of Error","Nonfamily Households $35,000 to $49,999","Nonfamily Households $35,000 to $49,999 Margin of Error","Nonfamily Households $50,000 to $74,999","Nonfamily Households $50,000 to $74,999 Margin of Error","Nonfamily Households $75,000 to $99,999","Nonfamily Households $75,000 to $99,999 Margin of Error","Nonfamily Households $100,000 to $149,999","Nonfamily Households $100,000 to $149,999 Margin of Error","Nonfamily Households $150,000 to $199,999","Nonfamily Households $150,000 to $199,999 Margin of Error","Nonfamily Households $200,000 or More","Nonfamily Households $200,000 or More Margin of Error",Nonfamily Households Median Income (Dollars),Nonfamily Households Median Income (Dollars) Margin of Error,Nonfamily Households Mean Income (Dollars),Nonfamily Households Mean Income (Dollars) Margin of Error,Nonfamily Households Nonfamily Income in the Past 12 Months
Atlanta,2016.0,0,1,2020914,1500000000,1975333.0,77683.0,1477.6,685.8000000000001,981.8,629.0,2123.3,797.0,2211.1000000000004,861.2,2910.3,923.0,3831.6,1001.4000000000002,2553.5,843.9000000000001,2757.0,899.1,1070.8,660.8,1082.8000000000002,621.1,11976874.0,1260859.0,15820544.0,1431458.0,6919.700000000001,1335192.0,74089.0,1071.3,923.8,604.4000000000001,767.1,1757.4,1006.3,2061.6,1024.1999999999998,2755.0,1169.1999999999998,3751.5,1215.6999999999998,2829.7,1088.1,3292.7,1210.5,1385.6,924.8,1489.9,875.6000000000001,14422996.0,1850252.0,18417566.0,1909312.0,7182.799999999999,953594.0,68685.0,384.6,930.0,301.50000000000006,893.0,1168.9,1031.6999999999998,1704.2,1160.1,2528.5,1365.9,3934.7,1472.4,3318.1,1379.1,4092.2,1543.5,1715.8000000000002,1168.9,1851.4,1115.4,17360437.0,2182178.0,387862.0,26058.0,640141.0,68547.0,2707.7,1498.9,2000.7000000000005,1412.6999999999998,3175.4,1677.1,2552.3,1561.4,3303.1000000000004,1628.1,3569.0,1649.5000000000005,1602.3000000000002,1411.6,1276.1999999999998,1354.5,366.3,1231.5,347.90000000000003,1206.4,7403636.0,1493724.0,9988784.0,1783403.0,6078.199999999999
Atlanta,2011.0,0,1,2372940,482000000,1878547.0,78330.0,1472.3,831.8000000000002,1074.2,700.3000000000002,2107.1000000000004,897.7999999999997,2153.4999999999995,961.9,2981.7,1063.2999999999995,4116.0,1088.9,2633.3,1011.1,2634.5999999999995,917.6999999999998,937.7,755.6,889.2,727.5,11811875.0,1354054.0,15009158.0,1290879.0,6406.6,1282650.0,72974.0,1033.7,905.9,755.4,802.7000000000002,1821.1,1108.3000000000002,1943.0,1137.9,2831.3,1248.1,4089.9,1266.6,2936.5,1255.6999999999998,3171.5000000000005,1182.4,1175.5,976.5,1242.6,965.3,13968288.0,1925310.0,17381602.0,1772040.0,6655.8,925906.0,67892.0,375.0,1043.2,396.8,1065.3000000000002,1222.8000000000002,1236.9,1601.0,1351.0,2572.0,1484.3000000000002,4306.4,1556.5,3443.0,1586.2,4025.4,1538.6,1488.7,1266.4,1569.9,1252.3000000000002,16807522.0,2413034.0,78550.0,10000.0,595897.0,67778.0,2710.0999999999995,1736.1000000000004,1994.1,1596.5,3008.0,1798.1999999999998,2747.6,1762.4,3294.0,1871.9,3758.3,1775.6,1590.3000000000002,1584.6999999999998,1167.1,1483.3999999999996,335.5,1395.2999999999995,296.0,1421.8000000000002,7542507.0,1837787.0,9568051.0,1635744.0,5603.600000000001
Baltimore,2017.0,0,1,2028424,1200000000,1075547.0,36919.0,687.1999999999999,630.3,473.4,650.9,886.1,703.6999999999999,1035.4,714.1999999999999,1689.5,854.1,2494.4,941.1,2061.4,883.5999999999999,3162.4,992.9,1705.4,817.3,2204.3,870.0,14811446.0,2160949.0,19131509.0,3020561.0,5647.5,703049.0,38434.0,407.9,866.1000000000001,314.6,826.2,581.0999999999999,883.4,800.7,861.7,1439.3,969.1,2309.9,1127.3,2247.4,1092.1,3519.2,1189.4,2066.6,1051.0,2711.6,1086.6,17194574.0,2563197.0,21921021.0,3693537.0,5700.1,499788.0,35798.0,137.79999999999998,933.1,136.2,912.4,356.0,929.8,588.0,923.3,1193.8000000000002,1068.6,2183.4,1238.6000000000004,2354.9999999999995,1236.3000000000002,3926.1,1387.2,2384.8,1218.7000000000005,3139.9,1263.7,19308585.0,2801393.0,446692.0,25567.0,372498.0,35401.0,1551.6999999999998,1631.8,958.9,1582.0,1710.6999999999998,1713.9,1741.3000000000002,1746.0,2356.5,1812.1,2981.5,1923.8,1656.2,1687.5,2089.2000000000003,1830.6,648.5,1545.9,605.5,1515.7,7994791.0,2199274.0,10782499.0,2634089.0,5392.3
Baltimore,2012.0,0,1,2102240,618000000,1060356.0,36935.0,713.8000000000001,843.8,484.9,729.1,1011.0,875.0,1099.6999999999998,910.1,1637.8,951.1,2744.9,1109.8000000000002,2255.7,1014.2,3149.3,1150.9,1475.3000000000002,945.1,1826.4,968.8,13962623.0,2196161.0,17278969.0,2421308.0,4414.9,693714.0,38875.0,477.6,976.8,250.6,938.5,736.0,1000.3,914.8000000000002,1047.2,1468.8000000000002,1054.3,2556.7,1216.0,2448.0,1201.6,3612.3,1358.5,1738.2,1185.1999999999998,2196.6,1164.0,16090400.0,2853671.0,19209236.0,2758996.0,4431.8,493332.0,36248.0,164.99999999999997,1100.0,132.2,1106.2,417.1,1135.1,666.6,1139.6,1182.1,1236.7,2428.9,1388.8000000000002,2622.4,1401.5,4123.1,1598.7999999999995,2066.0,1409.5,2596.2,1370.9,18285952.0,2953074.0,404898.0,21806.0,366642.0,36070.0,1293.6999999999998,1974.3,1210.2,1827.2,1889.1,1979.9,1806.6,2015.1,2315.7,2144.3,2915.1000000000004,2226.2,1689.1,2047.8,1859.3,2006.8,666.4,1785.0,454.1,1876.3,7569954.0,2924634.0,9463631.0,2162996.0,4043.4
Boston,2018.0,0,1,2895575,3200000000,3344669.0,138030.0,2945.3,2950.3,2485.9,2965.1000000000004,4714.2,3458.0,4720.099999999999,3470.2,6839.8,3850.1,11062.4,4559.200000000001,9290.4,4215.6,13274.0,4707.799999999999,6694.099999999999,3555.3,8173.3,3571.8,59298661.0,8418531.0,75431260.0,9275723.0,24574.2,2136944.0,123695.0,1664.4,3562.0,1004.7,3451.7000000000003,2661.8,3767.1,3571.6,3946.6,5985.6,4438.6,10640.5,5362.6,9892.5,5061.400000000001,15534.6,5868.4,8350.3,4661.799999999999,10493.4,4673.0,70306256.0,9828533.0,87171290.0,11409552.0,24829.5,1608817.0,128546.0,680.6,3915.6,542.2,3965.400000000001,1612.7,4036.7,2548.6,4197.6,5043.200000000001,4736.4,10075.1,5819.2,10325.1,5756.5,17123.5,6636.1,9677.7,5497.0,12074.0,5536.4,78135697.0,10284852.0,578219.0,61604.0,1207725.0,144387.0,5790.8,6601.6,5448.4,6578.3,9377.6,7623.0,7727.800000000001,7233.900000000001,9280.3,7439.799999999999,12289.0,8321.9,7558.5,7064.200000000001,7300.9,6947.599999999999,2540.9,5999.1,2385.0,5937.6,30339438.0,8589187.0,42602023.0,9519949.0,22315.7
Boston,2013.0,0,1,2833333,1500000000,3255781.0,136438.0,3332.1,3609.6,2843.8,3474.5999999999995,5481.299999999999,3971.6,5685.099999999999,4025.0,7649.700000000001,4434.0,11922.2,4880.1,9790.4,4636.6,12276.8,4874.200000000001,5633.4,3941.3,5587.9,3728.0,51734702.0,8256948.0,64586496.0,7794979.0,20285.6,2084973.0,120938.0,1952.9,4084.2,1336.0,3930.1,3557.5,4379.0,4534.3,4525.5,6861.5,5013.8,11640.3,5745.099999999999,10967.2,5586.6,14812.6,6039.0,7039.0,4979.9,7198.0,4697.0,61601128.0,9264186.0,74453642.0,9429219.0,20593.1,1564370.0,125010.0,725.1,4118.400000000001,747.6000000000001,4083.8,2338.1,4304.0,3508.4,4508.6,5746.099999999999,5058.3,11487.7,6023.0,11850.9,6096.1,16661.300000000003,6617.4,8185.9,5512.299999999999,8246.5,5183.1,68738000.0,10360020.0,591072.0,53300.0,1170808.0,142434.0,6474.699999999999,6644.700000000001,6379.7,6627.8,10155.9,7253.699999999999,8439.6,6979.5,9818.2,7544.2,12125.6,7918.299999999999,6485.3,6633.8,5695.9,6363.0,1864.1,5691.4,1663.8000000000002,5709.7,27952484.0,9314773.0,37814217.0,8732584.0,18083.3
Chicago,2019.0,0,2,4744640,4900000000,3689398.0,124287.0,2512.9000000000005,1770.1,1581.3000000000002,1602.0,3760.1,1863.6,3929.900000000001,1928.9,5378.2,2085.8,8356.2,2545.7,6642.800000000001,2337.1,8291.3,2322.2,3745.2,1967.9,4200.5,2042.6,36484051.0,4164101.0,46705069.0,4689650.0,17012.5,2394999.0,109008.0,1549.1999999999998,2259.3,840.1,2112.9,2442.3,2307.3,3107.5,2376.2,4864.8,2592.2,8291.699999999999,3077.1000000000004,7038.6,2873.3,9956.2,3079.9,4691.0,2578.3,5518.6,2700.7000000000003,44151756.0,5229728.0,54818761.0,6164468.0,17366.9,1749185.0,110704.0,629.0,2543.6,462.8,2620.2,1390.5,2444.7,2353.9999999999995,2458.0,4298.4,2757.0,8098.3,3286.6,7611.799999999999,3300.0,11439.9,3547.3,5507.9,2970.0,6404.299999999999,3141.6,49674877.0,5689762.0,2835607.0,165706.0,1294399.0,123112.0,4829.200000000001,3953.1,3026.2,3731.3,7021.6,4201.7,6163.799999999999,4067.5,6846.0,4282.4,8246.1,4465.9,5254.799999999999,4131.799999999999,4270.1,4271.0,1329.0,4015.6,1213.0,4173.700000000001,20663630.0,4605212.0,27614720.0,5106074.0,15431.9
Chicago,2014.0,0,2,4302934,2775000000,3613948.0,122541.0,2793.6,1857.6,1970.5,1720.0,4414.6,2089.5,4413.799999999999,1999.3,6049.299999999999,2301.8,9174.9,2561.0,6734.4,2276.3,7287.2,2274.4,2818.7,1989.7000000000005,2744.8,1933.7,31546504.0,3828468.0,39540867.0,3702347.0,15156.5,2391763.0,107660.0,1949.5,2392.0,1166.9,2377.5,3070.9,2377.3,3628.7,2339.0,5594.0,2726.0999999999995,9420.7,3093.0,7514.1,2902.3,8860.900000000001,2979.6,3581.2,2646.0,3612.4,2570.8,37728855.0,4939036.0,45795641.0,4890020.0,15532.4,1735840.0,109194.0,625.9,2718.6,550.0,2708.6000000000004,2101.0,2630.1,3036.2000000000003,2542.3,5115.5,2979.2,9712.7,3521.4,8476.2,3409.0,10332.6,3505.5,4243.5,3176.2000000000003,4206.0,3041.2,42776631.0,5413063.0,1729026.0,94644.0,1222185.0,118638.0,5170.5,3842.4,3793.6,3551.1000000000004,7959.700000000001,4130.9,6444.799999999999,3872.1,7030.2,4136.2,8265.400000000001,4235.2,4361.8,4041.9,3170.0,3784.0,870.2,3777.9,935.0,3820.5,18399843.0,5254739.0,24185850.0,4606338.0,13433.4
Cincinnati,2021.0,0,1,1505024,1190000000,933446.0,56896.0,1120.7,1113.9,720.4,981.5,1510.9,1115.3,1590.8000000000002,1131.1,2171.6000000000004,1169.5,3346.3,1374.9,2483.8,1300.7,3037.0,1298.6,1255.4,1066.5,1163.0,1069.6,12107201.0,1936823.0,15792054.0,2257946.0,6406.7,600484.0,47148.0,768.9,1271.3,447.7,1170.1999999999998,990.8,1245.9,1303.9,1218.5,1956.7,1405.5,3313.5,1657.6,2646.3,1578.0,3671.5,1684.4,1675.2,1417.5,1522.4,1396.2,14872710.0,2537244.0,18396607.0,2776574.0,6587.9,445318.0,43573.0,281.79999999999995,1266.6,147.20000000000002,1328.6,549.9,1204.9,817.3999999999999,1342.1999999999998,1711.9,1382.7000000000005,3291.8,1711.1999999999998,2930.3,1727.7,4405.3,1859.8,2100.1,1587.1,1864.7,1566.9,17634348.0,3004114.0,348477.0,18496.0,332962.0,46457.0,1956.9,1967.8,1321.0,1882.3,2767.7,2085.5,2390.5,2145.2,2677.1000000000004,2064.2,3170.8,2133.3,1723.1,2004.9,1396.9,1939.5,309.20000000000005,1839.2,386.5,1855.7,6647229.0,1933428.0,9385902.0,2339789.0,5673.4
Cincinnati,2015.0,0,1,2419506,905000000,880573.0,39315.0,1423.5,1114.2,1075.6,1030.6999999999998,1993.4,1267.1,1873.8,1198.8000000000002,2534.7,1248.9,3457.9,1392.6999999999998,2366.9,1294.9,2155.3,1234.1,765.3000000000001,1086.6999999999998,753.4000000000001,970.9,9624689.0,1299287.0,12420838.0,1578179.0,5865.0,580514.0,34921.0,998.9,1216.7,602.5,1123.1999999999998,1497.0,1296.3,1610.0,1215.5,2403.8,1371.9,3799.4,1582.7,2683.7,1505.2,2681.7,1450.6,985.3,1253.3,1038.2,1128.2,11381328.0,1681152.0,14100571.0,1790840.0,5981.3,430291.0,33401.0,272.5,1358.5,286.69999999999993,1332.7,932.6,1379.6,1428.7,1333.2,2257.3,1552.4,3955.9,1914.6,3175.3,1806.1,3388.0,1771.8000000000002,1221.4,1572.3000000000002,1280.6,1380.9,6538281.0,858524.0,396392.0,18142.0,300059.0,34768.0,2483.3,2062.2,1892.0,1924.0,3424.6,2205.0,2527.4,2073.7000000000003,2704.9,2149.2,2798.9,2168.8,1208.1,2003.7,705.5,1959.6,190.9,1954.3,166.09999999999997,1980.1,5413921.0,1360806.0,7177858.0,1515737.0,5147.8
