"","Market","Projected_Average","Projected_Average_Per_Game"
"1","Portland",1926157.34233015,23779.7202756809
"2","Sacramento",1890751.82108185,23342.6150750845
"3","Orlando",1882575.71445881,23241.6754871458
"4","Las Vegas",1843250.19238077,22756.1752145775
"5","Charlotte",1829429.69908849,22585.5518405986
"6","San Antonio",1783019.06925201,22012.5811018767
"7","Indianapolis",1733158.05859829,21397.0130691147
"8","Columbus",1724319.63619794,21287.8967431844
"9","Raleigh-Durham",1691163.21608172,20878.5582232311
"10","Austin",1671166.07858797,20631.6799825675
"11","Nashville",1646193.05323568,20323.3710276009
"12","Jacksonville",1579122.20422276,19495.3358546019
"13","Salt Lake City",1511596.58968461,18661.6862924025
"14","Buffalo",1504176.58976909,18570.0813551739
"15","Oklahoma City",1487654.55179978,18366.1055777751
"16","Louisville",1477674.75288122,18242.8981837188
"17","New Orleans",1459758.32770595,18021.7077494562
"18","Honolulu",1443800.33563102,17824.6955016175
"19","Memphis",1431041.24678813,17667.1758862732
"20","Omaha",1417640.53268204,17501.7349713832
"21","Hartford",1413822.30538705,17454.5963628031
"22","Birmingham",1400206.60193759,17286.5012584887
"23","Albuquerque",1393598.57169575,17204.9206382191
"24","Virginia Beach",1271483.7061191,15697.329705174
"25","San Juan",1218186.4534393,15039.3389313493
